4585678,A3FJZTQENPWB06,B004YW79F4,5,1370044800
544617,A1124LDK5GA1JS,B00065AO0K,5,1141776000
4233313,ATFHESWMELMAN,B004LB4MZS,1,1363996800
3522123,A3F7TL50J0HTOY,B003R7KMU6,5,1318204800
1577192,A2PL75GTUUFXDC,B0011NVMO8,5,1232323200
1614446,A1EWACBY18QESU,B0012S4APK,5,1380931200
2606145,ARHIDPRJUICWY,B002HQYM5E,5,1267920000
792983,A38RZ3QN31Y6ZX,B000C1Z0HA,5,1288742400
1613480,A1IXO3Y2VF0U6V,B0012S4APK,5,1371081600
677014,A2D9C7HBIYJIKX,B0009PAYY8,5,1363564800
6729284,A3OGVL2Z2IUGL1,B009UEAZ84,5,1386892800
6545256,A2KW3O9TMOT4TC,B0099AO3B4,5,1391644800
5831638,AEI0QNH205TW2,B007P4VOWC,5,1378339200
5146364,A1GT4LMA1XSNBZ,B005Q39PTI,4,1375660800
5544828,A1SQDBF2GHYX92,B007136D46,2,1375142400
1189881,A2FHYFDONAZ6SV,B000N385QK,5,1206316800
4767536,A1H1GF9IYJANZO,B0058FAYPS,1,1397606400
1959500,A1VNQS1ZJEPAQH,B001ECKSFA,5,1251936000
4957167,A3O3GOAX3NXZAV,B005HBTC9M,2,1366588800
7479412,A23HOHPWFYGPSP,B00E055H5O,5,1395187200
4444306,A25U84UQOJTPWE,B004SUO1QM,1,1360713600
6708085,A1LFY802X1R4CO,B009SE4DNO,5,1389830400
6136058,A2HL9GMWSE75JU,B008AG097A,2,1388188800
4043322,A5WSEU6D5GTYR,B004DKS3ES,4,1322352000
1219971,A1S4R6CZB4566C,B000NP46K2,5,1215129600
4088244,A3COAKKASBXI9E,B004G6002M,4,1371254400
7477801,AYDK5IVA1OKOZ,B00E055H5O,3,1404864000
5591061,A3PAXF1ALLE5AJ,B00748HK8Q,1,1351728000
3920696,A3H52KG9YHH9TL,B00474MHT2,1,1379894400
2592984,A3IB935PA94VIQ,B002GYTPAE,5,1390262400
755102,A2X31HDVK1NK41,B000BKJZ9Q,5,1228780800
